,headline.main,state,headline_raw,head_split
0,COLORADO BUILD-UP FOR THE SKIER,Colorado,colorado build-up for the skier,colorado build-up for the skier
1,COLORADO REVERSES STEAM-PLANT RULING,Colorado,colorado reverses steam-plant ruling,colorado reverses steam-plant ruling
2,ABORTION BILL SENT TO COLORADO HOUSE,Colorado,abortion bill sent to colorado house,abortion bill sent to colorado house
3,"COLORADO BEATS NEBRASKA, 21-16; Takes 5th in Row, Ruining Cornhusker Title Hopes",Colorado,"colorado beats nebraska, 21-16 takes 5th in row, ruining cornhusker title hopes",colorado beats nebraska 21-16 takes 5th in row ruining cornhusker title hopes
4,Lottery Defeated in Colorado,Colorado,lottery defeated in colorado,lottery defeated in colorado
5,"PURDUE'S SETBACK ANOTHER SURPRISE; U.C.L.A., Colorado, U.S.C. Remain Only Undefeated Teams Among Top 10",Colorado,"purdue's setback another surprise u.c.l.a., colorado, u.s.c. remain only undefeated teams among top 10",purdue's setback another surprise u.c.l.a. colorado u.s.c. remain only undefeated teams among top 10
6,"Colorado Coach Is 30, Talented, Eager to Quit; Grandelius Figures to Retire When Pact Ends in '66 But Orange Bowl Mentor Has Had Trouble Saying 'No'",Colorado,"colorado coach is 30, talented, eager to quit grandelius figures to retire when pact ends in '66 but orange bowl mentor has had trouble saying 'no'",colorado coach is 30 talented eager to quit grandelius figures to retire when pact ends in '66 but orange bowl mentor has had trouble saying 'no'
7,George G. Black Becomes Fiance Of Miss Hollister; Detroit Stockbroker to Marry U. of Colorado Senior on Aug. 27,Colorado,george g. black becomes fiance of miss hollister detroit stockbroker to marry u. of colorado senior on aug. 27,george g. black becomes fiance of miss hollister detroit stockbroker to marry u. of colorado senior on aug. 27
8,Alumni Aide to Coach Colorado; Averts Eleven's Threat to Quit,Colorado,alumni aide to coach colorado averts eleven's threat to quit,alumni aide to coach colorado averts eleven's threat to quit
9,COLORADO ROUTS NORTHWESTERN U.; The Conquerors of Stanford Lose in L.A. Tourney,Colorado,colorado routs northwestern u. the conquerors of stanford lose in l.a. tourney,colorado routs northwestern u. the conquerors of stanford lose in l.a. tourney
10,2d Earth Tremor in 2 Days Jolts Wide Area of Colorado,Colorado,2d earth tremor in 2 days jolts wide area of colorado,2d earth tremor in 2 days jolts wide area of colorado
11,"Pepsi-Cola Reports a Record In First-Quarter Sales and Net; Magnavox Company Corporations Conduct Annual Meetings Engelhard Industries, Inc. Raymond International Max Factor & Co. Acme Steel Co. Buckeye Pipe Line Colorado Fuel & Iron",Colorado,"pepsi-cola reports a record in first-quarter sales and net magnavox company corporations conduct annual meetings engelhard industries, inc. raymond international max factor & co. acme steel co. buckeye pipe line colorado fuel & iron",pepsi-cola reports a record in first-quarter sales and net magnavox company corporations conduct annual meetings engelhard industries inc. raymond international max factor & co. acme steel co. buckeye pipe line colorado fuel & iron
12,A SEA OF SAND HIGH IN THE COLORADO ROCKIES,Colorado,a sea of sand high in the colorado rockies,a sea of sand high in the colorado rockies
13,COLORADO SKIERS LEAD BY 6 POINTS; Denver Second With 98 as College Meet Starts,Colorado,colorado skiers lead by 6 points denver second with 98 as college meet starts,colorado skiers lead by 6 points denver second with 98 as college meet starts
14,SKIING IS IN FULL SWING ON COLORADO'S SLOPES,Colorado,skiing is in full swing on colorado's slopes,skiing is in full swing on colorado's slopes
15,"Canada Ties Sweden, 5-5, In Colorado Springs Hockey",Colorado,"canada ties sweden, 5-5, in colorado springs hockey",canada ties sweden 5-5 in colorado springs hockey
16,COUNTING SHEEP IS A DAYTIME JOB IN COLORADO,Colorado,counting sheep is a daytime job in colorado,counting sheep is a daytime job in colorado
17,PROGRAM IS GIVEN BY COLORADO CHOIR,Colorado,program is given by colorado choir,program is given by colorado choir
18,R. D. lVlcCutloch AndMissCoakley Married in-Ohio; U. of Colorado Student Weds Trinity Alumna in Youngstown,Colorado,r. d. lvlccutloch andmisscoakley married in-ohio u. of colorado student weds trinity alumna in youngstown,r. d. lvlccutloch andmisscoakley married in-ohio u. of colorado student weds trinity alumna in youngstown
19,Soviet Six Choice in Colorado As World Hockey Opens Tonight,Colorado,soviet six choice in colorado as world hockey opens tonight,soviet six choice in colorado as world hockey opens tonight
20,COLORADO IS GO!,Colorado,colorado is go!,colorado is go!
